ProductName,ProductGroup,StockCode,Price
4FORMAGGI,P,PZ0018,10
4STAGIONI,P,PZ0004,10
Asperges et Champignons Mornay,C,CP0111,13
Assiette de fromages,D,APP002,11
Assiette de pate,A,APP001,12.5
Banana Sara,D,CP0157,10.5
Bananas or Strawberries,D,CP0118,7.5
Belgian waffle,B,BK0110,5
Black Coffee,G,DAB001,3
Bloody Mary,G,DAB013,8
Boeuf bourguignon,C,ENT0115,13.5
CALZONE,P,PZ0009,10
Cappuccino,G,DAB003,3.75
CAPRICCIOSA,P,PZ0005,9.5
Caramel & Salted Butter,D,CP0158,10.5
Chicken and Vegetable crepe,C,CP0256,6.5
chicken 'n cheese omelette,B,BK0160,8.5
Chocolate & Grand Marnier,D,CP0159,10.5
Chocolate or Nutella,D,CP0117,7.5
COLAZIONE,P,PZ0012,9.5
Coq au vin,C,CP0113,13.5
creme caramel,D,CP0110,9
Crepe Japonnais,C,CP0170,7.5
DIAVOLA,P,PZ0016,9.5
Eggs Benedict,B,BK0102,5
Eggs Florentine,B,BK0101,5
Eggs Royale,B,BK0103,5
Epinards creme/creamed spinach,C,CP0105,9.5
Espresso,G,DAB005,3
FIORENTINA,P,PZ0017,9.5
Fish of the day,F,ENT120,14
French fries,K,SD0001,4
Fruits de mer/seafood,F,ENT0116,14.5
GIARDINO,P,PZ0013,10
Ham 'n Cheese Omelette,B,BK0162,7
HAWAII,P,PZ0010,9.5
Hazelnut Chocolate Cream,D,CP0102,4.5
Hot Chocolate,G,DAB006,3.5
Hot Cider,G,DAB008,4
Italian crepe,C,CP0134,7.5
juices / Orangina,G,DAB009,3
Kir Normand,G,DAB012,7
La cacahuete,D,CP0160,11.5
La Noix de Coco,D,CP0151,9.5
La Pomme,D,CP0119,8
La Superbe Banane Quebec,D,CP0101,5.5
La Vegetarienne,C,CP0107,11.5
Latte,G,DAB002,3.25
Latte Large,G,DAB004,3.75
MARCO'S,P,PZ0006,9.5
MARGHERITA,P,PZ0002,8
MEDITERRANEA,P,PZ0007,9.5
Mimosa,G,DAB010,7
MOO-MOO,P,PZ0019,10
NAPOLETANA,P,PZ0003,9.5
POPAY,P,PZ0008,9.5
Poulet au curry,C,CP0112,13
Poulet et fromage de chevre,C,CP0108,12.5
Pure Wellness,D,ICE004,5.5
Red Passion,D,ICE002,5.5
Reveil Royal,G,DAB011,7
Salade Maison,S,SAL103,6.5
Salade Nicoise,S,SAL102,11.75
Salade Parisienne,S,SAL100,5.75
SALAME,P,PZ0011,9.5
SAPORITA,P,PZ0020,10
SCHIACCIATINA,P,PZ0001,5
Scrambled eggs,B,BK0161,8.5
Soup a l'oignon gratinee,A,SUP121,8
Steak Frites,C,ENT121,16
Suzette a la Germain,D,CP0156,9.5
Tartiflette Galette,C,CP0137,6.75
Tea,G,DAB007,4
THE DON,P,PZ0021,10
The Sicilian Crepe,C,CP0125,7.5
The Two Cheeses crepe,C,CP0163,7
TONNO CIPPOLA,P,PZ0014,9.5
TRENTINA,P,PZ0015,9.5
